inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.55,0.35,0.5,0.014,0.36,400,0.342,69.72,59,0.025,1568.1,70.87
0.7,0.55,0.8,0.014,0.36,400,0.15,163.92,88,0.026,1662.3,70.56
0.75,0.25,0.7,0.013,0.4,400,0.385,29.63,56,0.046,1426.1,70.13
0.575,0.25,0.5,0.009,0.36,400,0.223,0.48,10,0.111,994.2,71.48
0.6,0.65,0.8,0.012,0.34,400,0.136,223.77,85,0.018,1519.5,71.07
0.725,0.55,0.8,0.011,0.3,400,0.187,86.52,75,0.024,1281.2,71.0
0.675,0.55,0.9,0.011,0.34,400,0.132,97.01,86,0.02,1291.7,71.09
0.575,0.65,0.8,0.013,0.4,400,0.146,281.43,79,0.018,1677.9,71.07
0.75,0.25,0.4,0.01,0.32,400,0.223,0.16,9,0.111,1095.1,71.69
0.575,0.45,0.9,0.009,0.4,400,0.332,38.85,61,0.04,1032.6,71.31
0.625,0.55,0.8,0.009,0.38,400,0.246,51.16,68,0.027,1044.9,71.06
0.675,0.35,0.6,0.01,0.42,400,0.209,11.51,30,0.042,1106.4,70.55
0.65,0.65,0.8,0.014,0.3,400,0.134,292.45,90,0.017,1790.9,70.93
0.7,0.25,0.6,0.011,0.34,400,0.217,8.07,31,0.044,1202.8,70.3
0.725,0.45,0.7,0.008,0.34,400,0.266,12.39,37,0.035,905.6,70.37
0.7,0.35,0.5,0.014,0.4,400,0.335,64.12,59,0.023,1562.5,70.35
0.55,0.25,0.8,0.011,0.32,400,0.385,28.59,55,0.042,1223.3,70.76
0.6,0.35,0.9,0.014,0.32,400,0.166,108.41,86,0.037,1606.8,70.53
0.6,0.25,0.7,0.008,0.42,400,0.143,1.75,21,0.064,895.0,70.26
0.525,0.25,0.7,0.01,0.42,400,0.278,11.47,33,0.062,1106.4,69.85
0.65,0.25,0.9,0.008,0.34,400,0.26,7.95,34,0.051,901.2,70.49
0.5,0.35,0.6,0.008,0.32,400,0.2,2.27,11,0.097,895.5,70.07
0.75,0.65,0.8,0.012,0.42,400,0.135,188.38,84,0.018,1484.1,70.04
0.75,0.25,0.9,0.009,0.36,400,0.424,13.67,49,0.053,1007.4,70.87
0.6,0.25,0.8,0.014,0.38,400,0.16,64.05,86,0.04,1562.4,70.23
0.75,0.65,0.8,0.013,0.34,400,0.132,253.62,89,0.016,1650.1,70.17
0.6,0.25,0.5,0.012,0.36,400,0.236,8.37,17,0.108,1304.1,70.21
0.5,0.25,0.6,0.01,0.4,400,0.154,5.36,24,0.051,1100.3,70.41
0.525,0.25,0.9,0.013,0.32,400,0.175,74.62,86,0.045,1471.1,70.54
0.525,0.25,0.5,0.012,0.4,400,0.194,8.12,21,0.083,1303.9,70.42
0.6,0.25,0.8,0.011,0.4,400,0.382,27.19,58,0.056,1221.9,70.51
0.525,0.25,0.8,0.011,0.4,400,0.324,29.91,61,0.041,1224.6,74.93
0.5,0.35,0.9,0.011,0.36,400,0.163,61.76,78,0.032,1256.4,70.2
0.65,0.25,0.6,0.011,0.34,400,0.217,8.75,30,0.049,1203.4,71.16
