inhib_strength,w_init_lo,w_init_hi,nu_plus,nu_minus,poisson_rate_scale,thresh_init,tau_val,refrac_val,vt_mean,vt_jitter,w_clip_min,w_clip_max,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.525,0.25,0.7,0.0001,-0.001,0.012,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.407,27.98,62,0.036,1323.7,70.49
0.7,0.35,0.8,0.0001,-0.001,0.01,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.447,26.21,52,0.049,1121.1,69.88
0.6,0.45,0.9,0.0001,-0.001,0.014,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.208,136.36,92,0.026,1634.8,69.37
0.6,0.25,0.8,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.328,63.42,77,0.038,1561.8,69.22
0.5,0.25,0.7,0.0001,-0.001,0.01,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.436,11.89,35,0.055,1106.8,69.4
0.625,0.35,0.7,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.41,10.72,28,0.043,1004.4,69.13
0.5,0.35,0.6,0.0001,-0.001,0.011,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.413,22.42,46,0.035,1217.1,69.43
0.5,0.25,0.9,0.0001,-0.001,0.008,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.394,9.8,37,0.036,903.0,69.09
0.525,0.65,0.9,0.0001,-0.001,0.012,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.248,212.6,85,0.018,1508.3,69.9
0.675,0.45,0.7,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.277,109.5,81,0.021,1607.9,69.87
0.675,0.45,0.8,0.0001,-0.001,0.008,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.415,15.56,46,0.041,908.8,69.16
0.575,0.35,0.9,0.0001,-0.001,0.008,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.403,14.35,43,0.037,907.6,70.1
0.5,0.25,0.8,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.382,58.12,71,0.044,1454.6,69.88
0.65,0.45,0.8,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.296,59.52,77,0.023,1254.2,69.93
0.5,0.35,0.5,0.0001,-0.001,0.009,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.431,3.33,17,0.062,997.1,69.86
0.625,0.55,0.9,0.0001,-0.001,0.014,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.206,171.18,91,0.02,1669.6,69.49
0.55,0.55,0.8,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.347,109.57,74,0.029,1304.2,69.43
0.575,0.55,0.8,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.242,170.78,86,0.019,1567.3,70.93
0.5,0.25,0.5,0.0001,-0.001,0.01,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.527,1.78,10,0.111,1096.7,69.83
0.55,0.25,0.8,0.0001,-0.001,0.01,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.445,18.36,43,0.054,1113.3,69.44
0.55,0.55,0.9,0.0001,-0.001,0.01,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.284,82.7,80,0.023,1177.6,69.83
0.625,0.25,0.4,0.0001,-0.001,0.01,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.634,0.2,6,0.167,1095.1,69.7
0.7,0.55,0.8,0.0001,-0.001,0.012,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.281,123.94,81,0.022,1419.7,69.94
0.675,0.25,0.9,0.0001,-0.001,0.013,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.349,61.71,79,0.057,1458.2,69.82
0.6,0.35,0.6,0.0001,-0.001,0.008,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.555,2.02,9,0.125,895.3,69.74
0.7,0.25,0.8,0.0001,-0.001,0.013,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.387,44.91,69,0.044,1441.4,69.7
0.55,0.25,0.5,0.0001,-0.001,0.008,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.08,0,0.0,893.3,69.34
0.7,0.25,0.7,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.447,4.59,23,0.068,998.3,69.66
0.7,0.65,0.8,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.258,196.0,83,0.015,1491.8,69.27
0.6,0.65,0.9,0.0001,-0.001,0.012,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.199,198.86,91,0.016,1494.6,69.44
0.6,0.35,0.9,0.0001,-0.001,0.013,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.26,89.42,86,0.033,1485.9,69.61
0.55,0.65,0.8,0.0001,-0.001,0.011,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.301,195.38,78,0.018,1390.1,69.59
0.575,0.45,0.9,0.0001,-0.001,0.008,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.458,24.06,42,0.057,917.3,69.54
0.675,0.25,0.9,0.0001,-0.001,0.012,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.357,47.39,74,0.046,1343.1,69.7
0.7,0.25,0.7,0.0001,-0.001,0.011,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.461,14.59,41,0.065,1209.3,69.67
0.525,0.45,0.8,0.0001,-0.001,0.012,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.298,98.43,79,0.024,1394.2,71.5
0.55,0.35,0.8,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.405,43.5,66,0.042,1238.2,69.33
0.575,0.35,0.6,0.0001,-0.001,0.009,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.445,6.44,22,0.065,1000.2,70.01
0.575,0.65,0.8,0.0001,-0.001,0.014,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.247,305.86,85,0.018,1804.3,69.56
0.7,0.65,0.8,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.204,287.75,90,0.015,1786.1,69.33
0.7,0.45,0.7,0.0001,-0.001,0.011,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.465,50.25,56,0.046,1244.9,69.35
0.6,0.35,0.7,0.0001,-0.001,0.012,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.433,43.48,63,0.045,1339.2,69.44
